Date,Snow_Depth_cm
2013-03-09,4.39
2013-03-10,3.93
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,2.23
2013-03-16,2.92
2013-03-17,2.41
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,0.0
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,3.93
2013-03-27,4.59
2013-03-28,4.2
2013-03-29,3.05
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.0
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-13,0.0
2013-04-14,2.34
2013-04-15,3.95
2013-04-16,3.59
2013-04-17,4.12
2013-04-18,3.52
2013-04-19,2.65
2013-04-20,2.69
2013-04-21,2.92
2013-04-22,2.43
2013-04-23,2.95
2013-04-24,2.67
2013-04-25,2.67
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,5.44
2013-05-04,6.48
2013-05-05,5.17
2013-05-06,2.73
2013-05-07,2.3
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,0.0
2013-05-11,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-18,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-24,0.0
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,20.09
2013-05-29,86.11
2013-05-30,82.3
2013-05-31,66.72
2013-06-01,93.62
2013-06-02,95.52
2013-06-03,91.77
2013-06-04,87.33
2013-06-05,80.99
2013-06-06,76.96
2013-06-07,72.0
2013-06-08,68.77
2013-06-09,65.57
2013-06-10,65.45
2013-06-11,63.42
2013-06-12,60.68
2013-06-13,66.51
2013-06-14,55.41
2013-06-15,51.92
2013-06-16,150.22
2013-06-17,97.5
2013-06-18,44.44
2013-06-19,46.25
2013-06-20,46.33
2013-06-21,45.97
2013-06-22,59.08
2013-06-23,69.5
2013-06-24,70.64
2013-06-25,68.15
2013-06-26,67.25
2013-06-27,31.23
2013-06-29,140.84
2013-06-30,133.98
2013-07-01,137.07
2013-07-02,127.57
2013-07-03,122.2
2013-07-04,118.48
2013-07-05,81.23
2013-07-06,142.44
2013-07-07,145.04
2013-07-08,145.26
2013-07-09,142.14
2013-07-10,134.39
2013-07-11,131.51
2013-07-12,131.6
2013-07-13,129.96
2013-07-14,128.24
2013-07-15,129.22
2013-07-16,123.9
2013-07-17,118.5
2013-07-18,114.01
2013-07-19,110.71
2013-07-20,97.81
2013-07-21,118.35
2013-07-22,117.66
2013-07-23,119.58
2013-07-24,118.81
2013-07-25,157.52
2013-07-26,109.74
2013-07-27,110.49
2013-07-28,106.76
2013-07-29,105.47
2013-07-30,94.4
2013-07-31,90.18
2013-08-01,88.71
2013-08-02,88.76
2013-08-03,84.09
2013-08-04,83.71
2013-08-05,91.01
2013-08-06,93.61
2013-08-08,143.72
2013-08-09,141.15
2013-08-10,140.29
2013-08-11,113.92
2013-08-12,136.75
2013-08-13,143.64
2013-08-14,145.46
2013-08-15,140.99
2013-08-16,139.46
2013-08-17,136.58
2013-08-18,132.33
2013-08-19,128.15
2013-08-20,128.63
2013-08-21,125.09
2013-08-22,124.59
2013-08-23,123.78
2013-08-24,121.19
2013-08-25,117.35
2013-08-26,119.14
2013-08-27,118.71
2013-08-28,121.8
2013-08-29,118.73
2013-08-30,113.9
2013-08-31,110.64
2013-09-01,107.15
2013-09-02,108.0
2013-09-03,112.63
2013-09-04,107.57
2013-09-06,104.78
2013-09-07,101.9
2013-09-08,102.72
2013-09-09,95.45
2013-09-10,91.24
2013-09-11,83.02
2013-09-12,77.83
2013-09-13,78.27
2013-09-14,76.46
2013-09-15,72.86
2013-09-17,86.88
2013-09-18,80.65
2013-09-19,77.6
2013-09-20,76.89
2013-09-21,80.95
2013-09-22,80.35
2013-09-23,81.17
2013-09-24,76.82
2013-09-25,72.28
2013-09-26,68.22
2013-09-27,63.93
2013-09-28,58.17
2013-09-29,58.65
2013-09-30,56.82
2013-10-01,54.4
2013-10-02,49.68
2013-10-03,46.38
2013-10-04,45.4
2013-10-05,42.23
2013-10-06,37.25
2013-10-07,32.65
2013-10-08,26.2
2013-10-09,18.45
2013-10-10,12.81
2013-10-11,5.04
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,0.0
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,0.0
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,0.0
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,0.0
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,0.0
2013-11-12,0.0
2013-11-13,0.0
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,0.0
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.0
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,0.0
2013-12-06,0.0
2013-12-07,2.06
2013-12-08,0.0
2013-12-09,0.0
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-14,0.0
2013-12-15,3.0
2013-12-16,3.02
2013-12-17,2.29
2013-12-18,2.53
2013-12-19,2.25
2013-12-20,2.07
2013-12-21,2.47
2013-12-22,3.28
2013-12-23,4.07
2013-12-24,2.85
2013-12-25,4.97
2013-12-26,0.0
2013-12-27,2.71
2013-12-28,2.79
2013-12-29,2.02
2013-12-30,0.0
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-04,4.75
2014-01-05,4.1
2014-01-06,3.18
2014-01-07,3.08
2014-01-08,3.29
2014-01-09,0.0
2014-01-10,0.0
2014-01-11,3.54
2014-01-12,4.61
2014-01-13,3.26
2014-01-14,4.09
2014-01-15,7.05
2014-01-16,4.71
2014-01-17,2.1
2014-01-18,0.0
2014-01-19,3.07
2014-01-20,2.7
2014-01-21,0.0
2014-01-22,0.0
2014-01-23,0.0
2014-01-24,0.0
2014-01-25,0.0
2014-01-26,0.0
2014-01-27,0.0
2014-01-28,0.0
2014-01-29,2.37
2014-01-30,2.26
2014-01-31,0.0
2014-02-01,0.0
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,0.0
2014-02-06,0.0
2014-02-07,0.0
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,0.0
2014-02-14,0.0
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,3.48
2014-04-23,3.49
2014-04-24,3.86
2014-04-25,2.48
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,19.09
2014-05-02,41.89
2014-05-03,67.18
2014-05-04,55.41
2014-05-05,47.89
2014-05-06,44.15
2014-05-07,42.19
2014-05-08,39.64
2014-05-09,35.66
2014-05-10,33.31
2014-05-11,28.3
2014-05-12,25.18
2014-05-13,25.01
2014-05-15,22.08
2014-05-16,19.53
2014-05-17,18.73
2014-05-18,17.43
2014-05-19,16.21
2014-05-20,3.2
2014-05-21,12.6
2014-05-22,40.12
2014-05-23,38.1
2014-05-24,34.93
2014-05-25,31.58
2014-05-26,33.03
2014-05-27,32.36
2014-05-28,29.24
2014-05-29,31.2
2014-05-30,37.04
2014-05-31,37.18
2014-06-01,39.34
2014-06-02,39.45
2014-06-03,35.99
2014-06-04,71.17
2014-06-05,78.22
2014-06-06,55.14
2014-06-07,22.29
2014-06-09,167.26
2014-06-10,151.2
2014-06-11,55.57
2014-06-13,171.66
2014-06-14,161.76
2014-06-15,147.98
2014-06-16,224.27
2014-06-17,132.47
2014-06-18,127.41
2014-06-19,124.68
2014-06-20,119.05
2014-06-21,112.24
2014-06-22,109.21
2014-06-23,108.92
2014-06-24,108.75
2014-06-25,105.81
2014-06-26,103.01
2014-06-27,105.24
2014-06-28,105.91
2014-06-29,104.65
2014-06-30,101.58
2014-07-01,99.72
2014-07-02,68.73
2014-07-03,124.4
2014-07-04,127.99
2014-07-05,126.91
2014-07-06,129.97
2014-07-07,130.4
2014-07-08,126.93
2014-07-09,123.95
2014-07-10,122.36
2014-07-11,119.15
2014-07-12,116.26
2014-07-13,117.73
2014-07-15,151.49
2014-07-16,146.55
2014-07-17,155.56
2014-07-18,153.47
2014-07-19,148.67
2014-07-20,134.24
2014-07-21,139.29
2014-07-22,132.26
2014-07-23,132.79
2014-07-24,132.1
2014-07-25,131.86
2014-07-26,131.19
2014-07-27,133.47
2014-07-28,132.2
2014-07-29,129.32
2014-07-30,125.15
2014-07-31,123.92
2014-08-01,128.05
2014-08-02,118.04
2014-08-03,123.09
2014-08-04,127.16
2014-08-05,125.61
2014-08-06,103.11
2014-08-07,155.64
2014-08-08,150.03
2014-08-09,141.15
2014-08-10,132.94
2014-08-11,127.74
2014-08-12,128.09
2014-08-13,130.54
2014-08-14,128.64
2014-08-15,127.57
2014-08-16,124.56
2014-08-17,123.46
2014-08-18,121.74
2014-08-19,117.94
2014-08-20,113.6
2014-08-21,109.74
2014-08-22,104.29
2014-08-24,84.18
2014-08-25,158.38
2014-08-29,122.75
2014-08-30,129.1
2014-08-31,131.88
2014-09-01,111.86
2014-09-02,161.86
2014-09-04,191.31
2014-09-06,182.11
2014-09-07,177.71
2014-09-08,174.77
2014-09-09,154.05
2014-09-10,170.32
2014-09-11,167.25
2014-09-12,164.69
2014-09-13,162.61
2014-09-14,159.69
2014-09-15,156.1
2014-09-16,151.35
2014-09-17,147.14
2014-09-18,142.72
2014-09-19,138.8
2014-09-20,136.46
2014-09-21,133.82
2014-09-22,129.06
2014-09-23,125.04
2014-09-24,127.86
2014-09-26,147.99
2014-09-27,141.6
2014-09-29,133.56
2014-09-30,132.67
2014-10-01,129.82
2014-10-02,126.21
2014-10-03,120.28
2014-10-04,115.31
2014-10-05,112.18
2014-10-06,109.9
2014-10-07,102.6
2014-10-08,95.51
2014-10-09,86.82
2014-10-10,84.23
2014-10-11,81.19
2014-10-12,77.52
2014-10-13,73.0
2014-10-14,70.03
2014-10-15,66.16
2014-10-16,62.34
2014-10-17,57.87
2014-10-18,54.14
2014-10-19,63.23
2014-10-20,54.74
2014-10-21,45.38
2014-10-22,36.11
2014-10-23,25.41
2014-10-24,3.71
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,0.0
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,0.0
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,0.0
2014-11-04,0.0
2014-11-05,0.0
2014-11-06,0.0
2014-11-07,0.0
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.0
2014-11-11,0.0
2014-11-12,0.0
2014-11-13,2.21
2014-11-14,4.43
2014-11-15,4.86
2014-11-16,6.14
2014-11-17,5.31
2014-11-18,6.57
2014-11-19,4.04
2014-11-20,4.12
2014-11-21,0.0
2014-11-22,2.7
2014-11-23,0.0
2014-11-24,0.0
2014-11-25,0.0
2014-11-26,2.69
2014-11-27,3.5
2014-11-28,2.7
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,0.0
2014-12-02,2.8
2014-12-03,5.75
2014-12-04,6.43
2014-12-05,5.55
2014-12-06,0.0
2014-12-07,4.61
2014-12-08,5.49
2014-12-09,4.27
2014-12-10,3.14
2014-12-11,2.95
2014-12-12,2.55
2014-12-13,3.41
2014-12-14,2.71
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,2.46
2014-12-18,3.62
2014-12-19,2.74
2014-12-21,3.04
2014-12-23,4.31
2014-12-24,4.27
2014-12-26,5.42
2014-12-27,5.01
2014-12-28,5.58
2014-12-29,5.46
2014-12-30,2.85
2014-12-31,0.0
2015-01-01,3.21
2015-01-02,4.59
2015-01-03,6.39
2015-01-04,7.43
2015-01-05,6.99
2015-01-06,6.5
2015-01-07,5.64
2015-01-08,4.78
2015-01-09,6.74
2015-01-10,7.85
2015-01-11,6.85
2015-01-12,5.74
2015-01-13,4.77
2015-01-14,5.04
2015-01-15,5.55
2015-01-16,5.93
2015-01-17,6.4
2015-01-18,5.98
2015-01-19,4.94
2015-01-20,5.22
2015-01-21,4.97
2015-01-22,5.05
2015-01-23,6.52
2015-01-24,8.52
2015-01-25,5.86
2015-01-26,6.29
2015-01-27,5.48
2015-01-28,4.31
2015-01-29,5.67
2015-01-30,5.81
2015-01-31,6.59
2015-02-01,5.67
2015-02-02,5.91
2015-02-03,5.49
2015-02-04,5.93
2015-02-05,5.53
2015-02-06,5.1
2015-02-07,4.54
2015-02-08,3.24
2015-02-09,0.0
2015-02-10,3.1
2015-02-11,4.59
2015-02-12,5.25
2015-02-13,7.12
2015-02-14,6.27
2015-02-15,5.31
2015-02-16,5.73
2015-02-17,6.57
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,2.09
2015-02-22,3.12
2015-02-23,5.0
2015-02-24,2.89
2015-02-25,3.4
2015-02-26,3.51
2015-02-27,3.19
2015-02-28,2.06
2015-03-01,2.48
2015-03-02,2.18
2015-03-03,5.33
2015-03-04,3.53
2015-03-05,6.18
2015-03-06,5.38
2015-03-07,4.97
2015-03-08,5.7
2015-03-09,7.05
2015-03-10,7.15
2015-03-12,5.53
2015-03-13,4.01
2015-03-14,3.05
2015-03-15,5.18
2015-03-16,4.91
2015-03-18,5.25
2015-03-19,6.0
2015-03-20,6.7
2015-03-21,7.61
2015-03-22,5.3
2015-03-23,3.72
2015-03-24,67.44
2015-03-25,27.01
2015-03-26,22.73
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,2.46
2015-04-02,2.89
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,2.12
2015-04-06,3.54
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,2.98
2015-04-10,4.43
2015-04-12,6.68
2015-04-13,6.46
2015-04-14,11.39
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,6.02
2015-04-18,7.97
2015-04-19,5.82
2015-04-20,7.4
2015-04-21,6.76
2015-04-23,40.52
2015-04-24,11.14
2015-04-25,11.04
2015-04-26,10.02
2015-04-27,10.19
2015-04-28,9.14
2015-04-29,12.38
2015-04-30,8.54
2015-05-01,11.61
2015-05-02,0.0
2015-05-03,2.11
2015-05-04,4.28
