Fecha,Altura_de_Nieve_cm
2018-03-21,0.0
2018-03-22,0.0
2018-03-23,0.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,0.0
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,2.13
2018-04-12,0.0
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,0.0
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,0.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,0.0
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,0.0
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,2.05
2018-05-11,0.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,0.0
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,4.489999999999999
2018-05-30,16.32
2018-05-31,53.75
2018-06-01,48.35
2018-06-02,43.27
2018-06-03,40.38
2018-06-04,37.86
2018-06-05,35.61
2018-06-06,35.58
2018-06-07,35.07
2018-06-08,34.38
2018-06-09,33.87
2018-06-10,46.53
2018-06-11,49.21
2018-06-12,32.59
2018-06-13,32.42
2018-06-14,32.27
2018-06-15,32.04
2018-06-16,31.9
2018-06-17,31.71
2018-06-18,31.54
2018-06-19,31.38
2018-06-20,31.13
2018-06-21,30.87
2018-06-22,30.55
2018-06-23,30.39
2018-06-24,32.58
2018-06-25,32.28
2018-06-26,30.17
2018-06-27,29.99
2018-06-28,29.96
2018-06-29,29.75
2018-06-30,29.64
2018-07-01,27.42
2018-07-02,23.48
