Date,Snow_Depth_cm
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.01
2022-03-04,0.01
2022-03-05,0.01
2022-03-06,0.01
2022-03-07,0.01
2022-03-08,0.01
2022-03-09,0.01
2022-03-10,0.01
2022-03-11,0.01
2022-03-12,0.01
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.01
2022-03-17,0.01
2022-03-18,0.01
2022-03-19,0.01
2022-03-20,0.01
2022-03-21,0.01
2022-03-22,0.01
2022-03-23,0.01
2022-03-24,0.01
2022-03-25,0.01
2022-03-26,0.01
2022-03-27,0.01
2022-03-28,0.01
2022-03-29,0.01
2022-03-30,0.01
2022-03-31,0.01
2022-04-01,0.5
2022-04-02,1.0
2022-04-03,1.0
2022-04-04,1.0
2022-04-05,1.0
2022-04-06,1.0
2022-04-07,1.0
2022-04-08,1.0
2022-04-09,1.0
2022-04-10,1.0
2022-04-11,0.71
2022-04-12,1.0
2022-04-13,1.0
2022-04-14,1.0
2022-04-15,1.0
2022-04-16,1.0
2022-04-17,1.0
2022-04-18,1.0
2022-04-19,1.0
2022-04-20,1.0
2022-04-21,1.0
2022-04-22,1.0
2022-04-23,1.0
2022-04-24,0.62
2022-04-25,0.42
2022-04-26,5.0
2022-04-27,10.25
2022-04-28,8.33
2022-04-29,7.0
2022-04-30,6.75
2022-05-01,6.0
2022-05-02,5.54
2022-05-03,4.29
2022-05-04,2.62
2022-05-05,1.58
2022-05-06,1.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.42
2022-05-12,0.38
2022-05-13,0.71
2022-05-14,0.71
2022-05-15,0.71
2022-05-16,0.71
2022-05-17,0.0
2022-05-18,0.21
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,1.21
2022-05-24,1.54
2022-05-25,0.33
2022-05-26,0.71
2022-05-27,0.71
2022-05-28,0.71
2022-05-29,0.71
2022-05-30,0.71
2022-05-31,0.71
2022-06-01,0.71
2022-06-02,0.71
2022-06-03,0.71
2022-06-04,0.38
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.71
2022-06-11,1.12
2022-06-12,1.04
2022-06-13,1.17
2022-06-14,1.0
2022-06-15,0.71
2022-06-16,0.71
2022-06-17,0.71
2022-06-18,0.71
2022-06-19,0.71
2022-06-20,0.71
2022-06-21,0.71
2022-06-22,1.33
2022-06-23,1.37
2022-06-24,7.62
2022-06-25,7.5
2022-06-26,5.38
2022-06-27,3.21
2022-06-28,0.71
2022-06-29,0.71
2022-06-30,0.71
2022-07-07,31.8
2022-07-08,29.79
2022-07-09,26.58
2022-07-10,26.38
